agent_id,residence,age_group,transport_pref,sensibility,doctor,home_x,home_y,work_x,work_y,initial_epi_state
104,dense_periphery,adult,walking,0.807028,1,9,16,40,42,SUSCEPTIBLE
105,dense_periphery,young,car,0.097942,1,5,14,64,68,SUSCEPTIBLE
106,sparse_periphery,adult,public_transit,0.728772,1,86,74,64,30,SUSCEPTIBLE
107,dense_periphery,child,car,0.287802,0,3,0,38,53,SUSCEPTIBLE
108,sparse_periphery,young,public_transit,0.475202,0,6,91,57,30,SUSCEPTIBLE
109,dense_periphery,child,public_transit,0.082535,0,6,7,34,60,SUSCEPTIBLE
110,sparse_periphery,senior,walking,0.84759,1,98,79,30,43,SUSCEPTIBLE
111,sparse_periphery,adult,car,0.821445,1,87,79,37,51,SUSCEPTIBLE
112,sparse_periphery,senior,car,0.699424,1,73,2,43,43,SUSCEPTIBLE
113,sparse_periphery,senior,public_transit,0.394756,0,17,22,61,57,SUSCEPTIBLE
114,dense_periphery,child,public_transit,0.360566,0,5,0,31,50,SUSCEPTIBLE
115,sparse_periphery,adult,public_transit,0.873095,0,89,60,47,41,SUSCEPTIBLE
116,dense_periphery,young,car,0.21208,0,6,11,43,51,SUSCEPTIBLE
117,sparse_periphery,adult,walking,0.395678,0,0,40,48,50,SUSCEPTIBLE
118,dense_periphery,young,public_transit,0.176828,1,5,2,53,68,SUSCEPTIBLE
119,sparse_periphery,senior,walking,0.737778,0,89,37,49,60,SUSCEPTIBLE
120,sparse_periphery,young,car,0.691927,1,24,54,37,49,SUSCEPTIBLE
121,sparse_periphery,young,public_transit,0.696741,0,87,84,44,68,SUSCEPTIBLE
122,dense_periphery,young,public_transit,0.263366,0,7,16,44,38,SUSCEPTIBLE
123,sparse_periphery,adult,public_transit,0.834287,1,85,49,33,50,SUSCEPTIBLE
124,sparse_periphery,young,car,0.858794,0,75,21,31,41,SUSCEPTIBLE
125,dense_periphery,adult,car,0.252159,1,2,7,59,43,SUSCEPTIBLE
126,sparse_periphery,adult,walking,0.807572,1,11,45,36,66,SUSCEPTIBLE
127,sparse_periphery,young,walking,0.595299,0,23,12,32,66,SUSCEPTIBLE
128,dense_periphery,senior,car,0.087405,0,12,11,57,58,SUSCEPTIBLE
129,dense_periphery,senior,car,0.323512,0,3,4,67,60,SUSCEPTIBLE
130,sparse_periphery,senior,public_transit,0.827456,1,19,51,35,38,SUSCEPTIBLE
131,sparse_periphery,senior,car,0.595468,1,91,72,38,51,SUSCEPTIBLE
132,sparse_periphery,adult,car,0.612577,0,93,55,49,40,SUSCEPTIBLE
133,dense_periphery,senior,car,0.141107,1,6,9,54,64,SUSCEPTIBLE
134,sparse_periphery,child,car,0.24368,1,62,20,53,44,SUSCEPTIBLE
135,sparse_periphery,adult,car,0.908447,1,74,75,65,36,SUSCEPTIBLE
136,sparse_periphery,adult,public_transit,0.558033,1,8,64,65,38,SUSCEPTIBLE
137,dense_periphery,young,public_transit,0.605692,0,9,11,62,38,SUSCEPTIBLE
138,dense_periphery,child,walking,0.029218,1,3,9,63,47,SUSCEPTIBLE
139,sparse_periphery,adult,public_transit,0.454725,0,20,1,44,30,SUSCEPTIBLE
140,dense_periphery,adult,public_transit,0.262607,0,4,19,64,46,SUSCEPTIBLE
141,sparse_periphery,senior,car,0.669202,0,93,9,49,44,SUSCEPTIBLE
142,dense_periphery,child,car,0.596852,0,12,16,67,42,SUSCEPTIBLE
143,sparse_periphery,adult,car,0.487874,1,78,6,37,52,SUSCEPTIBLE
144,sparse_periphery,adult,car,0.681273,1,90,53,50,44,SUSCEPTIBLE
145,sparse_periphery,adult,car,0.391075,0,90,85,46,53,SUSCEPTIBLE
146,sparse_periphery,young,public_transit,0.823438,1,74,79,43,65,SUSCEPTIBLE
147,sparse_periphery,adult,car,0.531242,0,1,29,44,40,SUSCEPTIBLE
148,sparse_periphery,young,car,0.374388,0,0,63,46,44,SUSCEPTIBLE
149,sparse_periphery,senior,car,0.916275,1,89,92,66,39,SUSCEPTIBLE
150,sparse_periphery,senior,public_transit,0.483892,1,68,86,30,43,SUSCEPTIBLE
151,sparse_periphery,senior,car,0.860947,1,58,84,46,45,SUSCEPTIBLE
152,sparse_periphery,adult,public_transit,0.660218,1,73,39,56,52,SUSCEPTIBLE
153,sparse_periphery,young,public_transit,0.468652,1,49,93,38,58,SUSCEPTIBLE
154,sparse_periphery,senior,car,0.509718,1,85,64,33,32,SUSCEPTIBLE
155,sparse_periphery,adult,public_transit,0.732375,0,63,85,40,63,SUSCEPTIBLE
156,sparse_periphery,senior,car,0.545616,1,14,62,62,37,SUSCEPTIBLE
157,dense_periphery,senior,public_transit,0.045041,1,3,3,62,52,SUSCEPTIBLE
158,dense_periphery,young,walking,0.158627,1,7,7,33,58,SUSCEPTIBLE
159,sparse_periphery,adult,public_transit,0.961797,0,75,37,43,44,SUSCEPTIBLE
160,dense_periphery,young,car,0.611085,0,4,3,66,57,SUSCEPTIBLE
161,dense_periphery,child,walking,0.209582,1,12,12,35,64,SUSCEPTIBLE
162,dense_periphery,young,car,0.153246,0,7,7,43,40,SUSCEPTIBLE
163,sparse_periphery,young,public_transit,0.499775,0,8,97,44,41,SUSCEPTIBLE
164,sparse_periphery,young,public_transit,0.095989,1,21,84,59,45,SUSCEPTIBLE
165,sparse_periphery,young,public_transit,0.69139,0,54,10,54,65,SUSCEPTIBLE
166,sparse_periphery,adult,public_transit,0.5387,0,71,54,46,62,SUSCEPTIBLE
167,sparse_periphery,young,public_transit,0.701746,1,26,9,60,52,SUSCEPTIBLE
168,sparse_periphery,adult,public_transit,0.710417,0,71,61,52,42,SUSCEPTIBLE
169,sparse_periphery,adult,car,0.220125,0,58,97,30,53,SUSCEPTIBLE
170,sparse_periphery,senior,public_transit,0.386775,0,76,74,63,57,SUSCEPTIBLE
171,sparse_periphery,young,public_transit,0.406432,1,74,4,34,46,SUSCEPTIBLE
172,sparse_periphery,senior,public_transit,0.753901,1,6,21,54,35,SUSCEPTIBLE
173,sparse_periphery,young,public_transit,0.746055,0,29,81,42,51,SUSCEPTIBLE
174,sparse_periphery,child,public_transit,0.245659,1,89,55,32,58,SUSCEPTIBLE
175,sparse_periphery,child,car,0.708504,0,8,56,55,57,SUSCEPTIBLE
176,sparse_periphery,adult,public_transit,0.516139,0,21,52,50,55,SUSCEPTIBLE
177,sparse_periphery,child,public_transit,0.44082,1,30,92,62,51,SUSCEPTIBLE
178,sparse_periphery,senior,car,0.768183,1,12,93,31,42,SUSCEPTIBLE
179,sparse_periphery,adult,car,0.808335,1,2,65,51,56,SUSCEPTIBLE
180,sparse_periphery,adult,car,0.688985,0,3,93,38,47,SUSCEPTIBLE
181,sparse_periphery,young,car,0.799822,1,59,17,53,30,SUSCEPTIBLE
182,sparse_periphery,adult,public_transit,0.504838,1,70,0,42,45,SUSCEPTIBLE
183,dense_periphery,young,public_transit,0.672926,0,14,9,44,39,SUSCEPTIBLE
184,sparse_periphery,adult,public_transit,0.342909,1,16,94,63,47,SUSCEPTIBLE
185,dense_periphery,adult,public_transit,0.186542,1,0,15,42,47,SUSCEPTIBLE
186,sparse_periphery,senior,car,0.642657,1,33,12,60,54,SUSCEPTIBLE
187,sparse_periphery,adult,car,0.725907,1,82,45,69,64,SUSCEPTIBLE
188,sparse_periphery,young,public_transit,0.941337,1,82,4,69,51,SUSCEPTIBLE
189,sparse_periphery,child,public_transit,0.527404,1,97,65,49,62,SUSCEPTIBLE
190,sparse_periphery,young,public_transit,0.467838,0,10,74,51,52,SUSCEPTIBLE
191,sparse_periphery,adult,car,0.419497,1,20,6,31,59,SUSCEPTIBLE
192,sparse_periphery,senior,walking,0.728516,1,39,91,36,37,SUSCEPTIBLE
193,dense_periphery,child,public_transit,0.003691,0,11,19,65,39,SUSCEPTIBLE
194,sparse_periphery,child,public_transit,0.43691,1,93,56,63,37,SUSCEPTIBLE
195,sparse_periphery,adult,car,0.778333,1,30,3,54,54,SUSCEPTIBLE
196,sparse_periphery,senior,car,0.253057,1,68,95,69,39,SUSCEPTIBLE
197,dense_periphery,senior,public_transit,0.313099,0,1,10,51,51,SUSCEPTIBLE
198,dense_periphery,young,public_transit,0.272863,0,10,5,46,69,SUSCEPTIBLE
199,sparse_periphery,adult,public_transit,0.44749,0,88,39,31,38,SUSCEPTIBLE
200,dense_periphery,adult,car,0.33315,0,13,0,47,65,SUSCEPTIBLE
201,dense_periphery,young,walking,0.638665,1,3,10,44,55,SUSCEPTIBLE
202,dense_periphery,young,public_transit,0.081474,0,14,8,58,49,SUSCEPTIBLE
203,dense_periphery,senior,public_transit,0.045838,1,10,17,69,55,SUSCEPTIBLE
204,sparse_periphery,adult,public_transit,0.302118,0,78,17,31,32,SUSCEPTIBLE
205,sparse_periphery,adult,car,0.680283,0,87,65,48,34,SUSCEPTIBLE
206,sparse_periphery,adult,walking,0.404503,0,29,59,68,64,SUSCEPTIBLE
207,sparse_periphery,adult,car,0.578463,0,94,97,58,41,SUSCEPTIBLE
208,sparse_periphery,young,walking,0.760999,1,77,49,32,41,SUSCEPTIBLE
209,dense_periphery,adult,car,0.100118,1,4,18,34,54,SUSCEPTIBLE
210,sparse_periphery,adult,car,0.184859,0,63,15,39,39,SUSCEPTIBLE
211,dense_periphery,adult,public_transit,0.008159,1,5,4,63,44,SUSCEPTIBLE
212,sparse_periphery,adult,car,0.586168,0,71,73,41,62,SUSCEPTIBLE
213,sparse_periphery,adult,public_transit,0.27243,1,74,57,56,43,SUSCEPTIBLE
214,sparse_periphery,senior,public_transit,0.182547,1,87,47,35,62,SUSCEPTIBLE
215,sparse_periphery,young,car,0.774321,1,14,81,39,41,SUSCEPTIBLE
216,sparse_periphery,senior,walking,0.335144,0,94,40,68,53,SUSCEPTIBLE
217,sparse_periphery,senior,public_transit,0.830318,1,21,73,60,56,SUSCEPTIBLE
218,sparse_periphery,adult,walking,0.491225,0,0,78,54,36,SUSCEPTIBLE
219,sparse_periphery,young,walking,0.573211,1,78,12,65,32,SUSCEPTIBLE
220,sparse_periphery,young,walking,0.757996,1,46,71,32,33,SUSCEPTIBLE
221,dense_periphery,adult,public_transit,0.263084,0,5,0,50,37,SUSCEPTIBLE
222,dense_periphery,senior,public_transit,0.504127,1,0,19,44,37,SUSCEPTIBLE
223,sparse_periphery,young,car,0.236711,1,87,26,45,58,SUSCEPTIBLE
224,sparse_periphery,senior,public_transit,0.702153,1,19,3,63,37,SUSCEPTIBLE
225,dense_periphery,adult,walking,0.11028,1,0,7,49,48,SUSCEPTIBLE
226,sparse_periphery,young,car,0.496329,0,14,47,36,68,SUSCEPTIBLE
227,dense_periphery,senior,public_transit,0.456645,1,11,0,39,34,SUSCEPTIBLE
228,dense_periphery,adult,public_transit,0.151774,1,11,5,55,42,SUSCEPTIBLE
229,sparse_periphery,senior,walking,0.308879,1,3,45,38,38,SUSCEPTIBLE
230,sparse_periphery,young,car,0.406251,1,16,10,37,65,SUSCEPTIBLE
231,sparse_periphery,adult,car,0.690164,0,42,8,36,45,SUSCEPTIBLE
232,sparse_periphery,adult,public_transit,0.794433,1,53,28,56,31,SUSCEPTIBLE
233,dense_periphery,young,car,0.393512,1,8,6,42,40,SUSCEPTIBLE
234,sparse_periphery,adult,public_transit,0.684268,0,65,29,65,53,SUSCEPTIBLE
235,sparse_periphery,adult,car,0.388568,0,86,22,59,69,SUSCEPTIBLE
236,dense_periphery,senior,walking,0.149351,1,6,18,35,66,SUSCEPTIBLE
237,dense_periphery,child,public_transit,0.197994,0,13,5,38,46,SUSCEPTIBLE
238,sparse_periphery,adult,public_transit,0.509558,0,65,72,48,67,SUSCEPTIBLE
239,sparse_periphery,young,walking,0.670364,1,35,97,51,62,SUSCEPTIBLE
240,dense_periphery,senior,walking,0.171436,0,7,9,44,32,SUSCEPTIBLE
241,sparse_periphery,child,public_transit,0.459187,0,28,10,35,30,SUSCEPTIBLE
242,sparse_periphery,adult,public_transit,0.589836,0,70,62,63,50,SUSCEPTIBLE
243,sparse_periphery,young,car,0.632747,1,3,64,52,57,SUSCEPTIBLE
244,dense_periphery,adult,public_transit,0.194723,1,4,3,36,45,SUSCEPTIBLE
245,sparse_periphery,child,car,0.83043,0,80,26,32,63,SUSCEPTIBLE
246,sparse_periphery,senior,walking,0.686614,1,15,47,65,41,SUSCEPTIBLE
247,sparse_periphery,senior,walking,0.791056,0,76,89,53,38,SUSCEPTIBLE
248,sparse_periphery,adult,public_transit,0.236614,0,67,78,49,62,SUSCEPTIBLE
249,sparse_periphery,senior,public_transit,0.749957,0,99,78,46,45,SUSCEPTIBLE
250,dense_periphery,adult,public_transit,0.23073,0,6,8,69,51,SUSCEPTIBLE
251,sparse_periphery,adult,walking,0.526705,1,90,46,31,43,SUSCEPTIBLE
252,sparse_periphery,senior,public_transit,0.753134,0,59,79,66,34,SUSCEPTIBLE
253,sparse_periphery,senior,car,0.595202,1,22,98,40,69,SUSCEPTIBLE
254,sparse_periphery,adult,walking,0.840931,1,79,53,38,51,SUSCEPTIBLE
255,dense_periphery,young,public_transit,0.439533,1,11,12,47,49,SUSCEPTIBLE
256,sparse_periphery,adult,walking,0.846745,1,40,28,45,63,SUSCEPTIBLE
257,sparse_periphery,adult,public_transit,0.592439,1,27,43,38,48,SUSCEPTIBLE
258,dense_periphery,young,car,0.250268,0,10,19,69,30,SUSCEPTIBLE
259,sparse_periphery,senior,car,0.668896,1,22,57,34,51,SUSCEPTIBLE
260,dense_periphery,senior,car,0.189067,0,9,2,43,58,SUSCEPTIBLE
261,dense_periphery,young,car,0.56699,1,2,16,55,51,SUSCEPTIBLE
262,sparse_periphery,adult,car,0.922176,0,27,81,62,67,SUSCEPTIBLE
263,dense_periphery,adult,car,0.134774,0,0,15,31,34,SUSCEPTIBLE
264,sparse_periphery,adult,walking,0.480101,1,59,9,56,66,SUSCEPTIBLE
265,dense_periphery,young,car,0.101826,1,3,14,41,62,SUSCEPTIBLE
266,dense_periphery,senior,public_transit,0.36029,0,14,11,64,31,SUSCEPTIBLE
267,sparse_periphery,young,car,0.240319,1,82,39,45,51,SUSCEPTIBLE
268,sparse_periphery,adult,public_transit,0.173672,1,19,53,36,34,SUSCEPTIBLE
269,sparse_periphery,senior,public_transit,0.726978,1,24,24,63,65,SUSCEPTIBLE
270,dense_periphery,adult,public_transit,0.045017,0,4,3,33,40,SUSCEPTIBLE
271,sparse_periphery,young,car,0.515794,1,31,74,50,47,SUSCEPTIBLE
272,sparse_periphery,adult,walking,0.365373,0,79,23,51,37,SUSCEPTIBLE
273,dense_periphery,young,walking,0.150346,1,6,12,64,43,SUSCEPTIBLE
274,sparse_periphery,young,car,0.353589,1,99,25,49,47,SUSCEPTIBLE
275,sparse_periphery,adult,public_transit,0.751568,1,15,33,41,68,SUSCEPTIBLE
276,sparse_periphery,adult,public_transit,0.436971,1,37,6,43,30,SUSCEPTIBLE
277,sparse_periphery,senior,public_transit,0.574898,1,20,8,31,35,SUSCEPTIBLE
278,sparse_periphery,senior,public_transit,0.812473,0,88,17,58,44,SUSCEPTIBLE
279,sparse_periphery,adult,public_transit,0.582838,1,34,19,44,40,SUSCEPTIBLE
280,sparse_periphery,adult,walking,0.610476,1,77,8,36,37,SUSCEPTIBLE
281,sparse_periphery,child,car,0.603503,1,19,88,43,50,SUSCEPTIBLE
282,sparse_periphery,child,car,0.36531,1,65,22,53,38,SUSCEPTIBLE
283,sparse_periphery,young,walking,0.362147,1,48,7,52,41,SUSCEPTIBLE
284,sparse_periphery,adult,car,0.62604,0,70,36,35,45,SUSCEPTIBLE
285,sparse_periphery,young,public_transit,0.816449,0,7,88,54,58,SUSCEPTIBLE
286,sparse_periphery,adult,car,0.821407,1,89,96,63,53,SUSCEPTIBLE
287,sparse_periphery,senior,car,0.879462,1,67,14,64,32,SUSCEPTIBLE
288,sparse_periphery,adult,public_transit,0.428897,1,94,76,45,53,SUSCEPTIBLE
289,sparse_periphery,child,public_transit,0.792735,1,71,55,41,42,SUSCEPTIBLE
290,dense_periphery,young,public_transit,0.42997,0,1,10,67,55,SUSCEPTIBLE
291,sparse_periphery,senior,public_transit,0.750269,0,22,95,57,32,SUSCEPTIBLE
292,sparse_periphery,adult,public_transit,0.371614,1,15,78,53,51,SUSCEPTIBLE
293,sparse_periphery,young,walking,0.718308,1,38,22,66,49,SUSCEPTIBLE
294,dense_periphery,child,car,0.32907,1,13,18,36,49,SUSCEPTIBLE
295,sparse_periphery,adult,walking,0.48036,1,89,97,40,35,SUSCEPTIBLE
296,sparse_periphery,senior,public_transit,0.280844,1,40,3,35,61,SUSCEPTIBLE
297,dense_periphery,young,public_transit,0.084495,1,4,16,37,42,SUSCEPTIBLE
298,dense_periphery,young,car,0.38654,1,14,5,33,32,SUSCEPTIBLE
299,dense_periphery,adult,walking,0.107519,1,10,18,33,40,SUSCEPTIBLE
300,dense_periphery,senior,car,0.351173,0,0,12,61,56,SUSCEPTIBLE
301,dense_periphery,adult,car,0.283692,1,3,18,65,47,SUSCEPTIBLE
302,dense_periphery,young,car,0.352352,1,11,15,37,60,SUSCEPTIBLE
303,dense_periphery,senior,car,0.27534,1,0,1,54,30,SUSCEPTIBLE
304,sparse_periphery,young,car,0.700847,0,92,57,61,47,SUSCEPTIBLE
305,dense_periphery,adult,public_transit,0.14698,0,0,14,45,57,SUSCEPTIBLE
306,sparse_periphery,adult,public_transit,0.442383,1,76,95,59,59,SUSCEPTIBLE
307,dense_periphery,adult,car,0.587696,1,2,16,45,69,SUSCEPTIBLE
308,sparse_periphery,young,car,0.571745,0,18,66,55,50,SUSCEPTIBLE
309,dense_periphery,child,public_transit,0.196247,1,14,17,40,69,SUSCEPTIBLE
310,sparse_periphery,adult,walking,0.411575,0,5,23,34,67,SUSCEPTIBLE
311,dense_periphery,adult,car,0.411136,1,4,4,59,36,SUSCEPTIBLE
312,sparse_periphery,young,public_transit,0.552453,1,76,42,52,62,SUSCEPTIBLE
313,sparse_periphery,adult,walking,0.705083,1,40,94,52,69,SUSCEPTIBLE
314,sparse_periphery,adult,car,0.544522,1,29,65,30,57,SUSCEPTIBLE
315,sparse_periphery,senior,public_transit,0.490102,1,79,53,65,38,SUSCEPTIBLE
316,sparse_periphery,senior,public_transit,0.481856,1,81,22,40,34,SUSCEPTIBLE
317,sparse_periphery,child,car,0.904147,1,96,76,49,38,SUSCEPTIBLE
318,sparse_periphery,child,public_transit,0.833333,0,45,76,43,35,SUSCEPTIBLE
319,dense_periphery,adult,walking,0.308694,1,0,15,55,64,SUSCEPTIBLE
320,dense_periphery,adult,public_transit,0.115861,0,11,11,52,39,SUSCEPTIBLE
321,sparse_periphery,adult,public_transit,0.390202,1,50,93,39,47,SUSCEPTIBLE
322,dense_periphery,adult,public_transit,0.406028,1,12,2,31,33,SUSCEPTIBLE
323,dense_periphery,adult,walking,0.351972,1,8,10,53,48,EXPOSED
